,BBC_Date,BBC_Tweet Text,BBC_Compound,BBC_Positive,BBC_Neutral,BBC_Negative,CBS_Date,CBS_Tweet Text,CBS_Compound,CBS_Positive,CBS_Neutral,CBS_Negative,CNN_Date,CNN_Tweet Text,CNN_Compound,CNN_Positive,CNN_Neutral,CNN_Negative,FOXTV_Date,FOXTV_Tweet Text,FOXTV_Compound,FOXTV_Positive,FOXTV_Neutral,FOXTV_Negative,nytimes_Date,nytimes_Tweet Text,nytimes_Compound,nytimes_Positive,nytimes_Neutral,nytimes_Negative
0,2018-01-17 19:33:03,"Step inside the world of high-profile divorce cases, where millions of pounds are at stake and London is the battle… https://t.co/cHY5x6Z2Jb",0.0,0.0,1.0,0.0,2018-01-17 19:54:17,"2018 GRAMMY® nominee @LadyGaga is never afraid to push boundaries.

Watch her perform live at The 60th Annual… https://t.co/TqqoTcVs2i",0.0,0.0,1.0,0.0,2018-01-17 21:21:06,"Aziz Ansari's behavior sounds tone-deaf, selfish and boorish. But ""Grace"" has agency, too, writes Lucia Brawley for… https://t.co/qyVyO7qTKy",-0.4767,0.0,0.846,0.154,2018-01-17 21:04:51,RT @davidduchovny: Don’t miss @thexfiles TONIGHT on FOX at 8/7c https://t.co/qeB5rioTKF,-0.1531,0.0,0.862,0.138,2018-01-17 21:16:05,Cardiologists not associated with the White House said Trump’s physical exam revealed serious heart concerns https://t.co/bbKcpLM9h6,-0.0772,0.0,0.92,0.08
1,2018-01-17 19:08:42,"RT @BBCWthrWatchers: Nature's very own snowball! #SnowRoller https://t.co/aZFjuheu8B
Images courtesy of Clanger, South Lanarkshire https://…",0.4199,0.166,0.834,0.0,2018-01-17 19:04:12,#StrangeAngel Casting News: @rupertfriend joins the cast of the upcoming CBS All Access original drama series. Lear… https://t.co/xOq0SC6ove,0.3182,0.119,0.881,0.0,2018-01-17 21:12:47,"Former Sen. Bob Dole speaks as he's awarded the Congressional Gold Medal, the highest civilian honor bestowed by Co… https://t.co/OyG5E2Ytg4",0.8402,0.346,0.654,0.0,2018-01-17 18:00:01,RETWEET to save a life. #BobsBurgers https://t.co/sUHvLWZtpW,0.4939,0.39,0.61,0.0,2018-01-17 21:01:21,One reader's reaction to North and South Korea’s agreement to march under a “unified Korea” flag at the Olympics… https://t.co/kxSmk8kmXI,0.4939,0.151,0.849,0.0
2,2018-01-17 19:07:51,"RT @bbccomedy: Ahead of the Bayeux Tapestry's loan to the UK, here's an exclusive sneak peek. https://t.co/xsBwCl1EED",0.128,0.086,0.914,0.0,2018-01-17 14:52:00,"You won't want to miss performances by @eltonofficial with @MileyCyrus, @U2, @samsmithworld, @kendricklamar &amp; more!… https://t.co/dCKkJIXQfZ",0.1316,0.102,0.826,0.072,2018-01-17 21:11:12,Caroline Wozniacki pulls off amazing comeback at Australian Open https://t.co/X8PCxbTVtj https://t.co/xVmlHUtFP3,0.5859,0.275,0.725,0.0,2018-01-17 15:53:36,RT @911onFOX: RETWEET if you're excited for a second season of #911onFOX. https://t.co/ocNSB1Wc53,0.34,0.179,0.821,0.0,2018-01-17 21:00:11,One reader's reaction to North and South Korea’s agreement to march under a “unified Korea” flag at the Olympics… https://t.co/Sl5ECp63CP,0.4939,0.151,0.849,0.0
3,2018-01-17 19:07:21,RT @bbcworldservice: This pair of North Korean figure skaters will be a big hit at the 2018 Winter Olympics. But are they expected to win a…,0.5859,0.137,0.863,0.0,2018-01-14 22:13:29,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,0.9215,0.379,0.621,0.0,2018-01-17 21:02:02,"Former Sen. Bob Dole is awarded the Congressional Gold Medal, Congress' highest civilian honor. Watch CNN:… https://t.co/aEclExRiRy",0.8402,0.391,0.609,0.0,2018-01-17 15:51:53,RT @LuciferonFOX: When you realize that #Lucifer returns in five days. 😳 https://t.co/2OuihHX2Ol,0.0,0.0,1.0,0.0,2018-01-17 20:46:08,It’s not Apple’s fault that you feel enslaved by your phone. But Apple can do more to address it. https://t.co/tPZRs82T1I,-0.1134,0.098,0.784,0.118
4,2018-01-17 19:07:07,"RT @BBCScotland: ""The more realistic they are the more freaky they are.""

A look into the world of incredibly life-like dolls known as 'reb…",-0.4201,0.0,0.887,0.113,2018-01-14 19:12:26,"If you continue to experience problems, please visit https://t.co/wvWEgDYfI5 to send our support team an email.",0.3182,0.242,0.628,0.13,2018-01-17 20:58:07,"Former ""Today"" show anchor Katie Couric will return to NBC to co-host the Olympics https://t.co/vBIiEgSWNm https://t.co/vyFRN20ENj",0.0,0.0,1.0,0.0,2018-01-17 14:00:05,"Skinner, are you new here? #TheXFiles https://t.co/DMRgtlGE2Z",0.0,0.0,1.0,0.0,2018-01-17 20:31:48,A fireball from a descending meteor lit up the sky north of Detroit on Tuesday night https://t.co/NJ2hQXdf3A https://t.co/FxK6AN9nMz,0.0,0.0,1.0,0.0
5,2018-01-17 19:00:10,"👑 Lucy Worsley revisits key events in the lives of Henry VIII's six wives. 

Six Wives with @Lucy_Worsley | 9pm |… https://t.co/ZeTGZRXhgz",0.0,0.0,1.0,0.0,2018-01-14 19:12:25,"We apologize for the live streaming issues some users are experiencing on CBS All Access this morning. The issue, a… https://t.co/WNl94H269i",0.1027,0.065,0.935,0.0,2018-01-17 20:50:12,Samsung unveils a special edition of its Galaxy Note 8 smartphone that's only for Olympians https://t.co/gvT53eu6EU https://t.co/HsjI2ieMJY,0.4019,0.162,0.838,0.0,2018-01-17 00:02:05,Have a day so good you dance like @Diddy. 🕺 #TheFour https://t.co/ZUee9wnTiY,0.7384,0.438,0.562,0.0,2018-01-17 20:16:05,"“No longer can we turn a blind eye or deaf ear to those assaults on our institutions."" Senator Jeff Flake took to t… https://t.co/KpvPkTsVo6",-0.7351,0.0,0.772,0.228
6,2018-01-17 18:30:04,"Meet the woman who loves blood, guts &amp; gore! 🤢 https://t.co/zGQzBWxSgF",0.6114,0.307,0.693,0.0,2018-01-14 19:11:33,"RT @startrekcbs: There will be lots to discuss after tonight's new #StarTrekDiscovery. Luckily, #AfterTrek has you covered. Join @karterhol…",0.6705,0.244,0.756,0.0,2018-01-17 20:40:13,"""Russia is not helping us at all with North Korea,"" President Trump says https://t.co/mKYKE5A6TB https://t.co/k2egT1Cw7H",-0.2235,0.0,0.881,0.119,2018-01-16 22:36:22,"RT @DylanMcDermott: Tonight! The most Epic Battle of all time!
@LAtoVegasFOX https://t.co/7c9KBRVy2g",-0.5365,0.0,0.761,0.239,2018-01-17 20:01:31,"Apple plans to bring back the majority of the $252 billion in cash that it has long held abroad, capitalizing on th… https://t.co/zxPQyekBhu",0.0,0.0,1.0,0.0
7,2018-01-17 17:48:46,"RT @bbcthree: ""What do you do with your junk?"" WHY DO YOU CARE!?

Things not to say to drag kings and queens https://t.co/WJMCXD7S3r",-0.372,0.0,0.896,0.104,2018-01-14 14:49:58,Don’t miss the AFC Divisional game! Stream the Jacksonville Jaguars at Pittsburgh Steelers LIVE today at 1:05PM ET… https://t.co/uYjgjaa6Oj,-0.2244,0.0,0.905,0.095,2018-01-17 20:30:11,A judge doubles as a therapist in the Larry Nassar case https://t.co/2g0BEff2Id https://t.co/gRm3kzxBZZ,0.0,0.0,1.0,0.0,2018-01-16 21:50:48,"RT @JussieSmollett: A few spots you can get #Freedom let the fam know👇🏿love y’all🙏🏿
VEVO 
https://t.co/GCNFanzkuI

iTunes 
https://t.co/0SK…",0.0,0.0,1.0,0.0,2018-01-17 19:46:08,“It’s only a matter of time before loneliness turns into depression. And that’s where it gets dangerous.” https://t.co/aZZ7lPB1ri,-0.7506,0.051,0.648,0.301
8,2018-01-17 17:30:07,These coots are putting us all to shame! #GymGoals 😂 https://t.co/wOhUMeGKRg,-0.5255,0.0,0.726,0.274,2018-01-14 12:00:01,"Today's music stars will be tomorrow's legends. In two weeks, celebrate The 60th Annual #GRAMMYs, Sunday, January 2… https://t.co/feZVWMIKua",0.5719,0.171,0.829,0.0,2018-01-17 20:25:06,Poison control centers say they’ve seen a “large spike” in calls due to an online laundry pod challenge… https://t.co/Uc5iAMuoE6,-0.5423,0.0,0.829,0.171,2018-01-16 21:31:06,You should always travel with a dustpan. #TheMick https://t.co/4Bni5P8wsR,0.0,0.0,1.0,0.0,2018-01-17 19:31:10,"On Tuesday, a Democrat won a Wisconsin State Senate seat that had been held by a Republican for 17 years. The win s… https://t.co/wcg7JRFc3L",0.8176,0.283,0.717,0.0
9,2018-01-17 17:00:07,"@@@

Everyone uses it, but not many know its official name, so here's a brief history of the asperand. 👉… https://t.co/O5C08Kbc8J",0.0,0.0,1.0,0.0,2018-01-13 14:32:07,Don’t miss the AFC Divisional game! Stream the Tennessee Titans at New England Patriots LIVE tonight at 8:15PM ET w… https://t.co/X34bNfms3j,-0.2244,0.0,0.914,0.086,2018-01-17 20:20:20,"""My father sees one color, green"": Eric Trump defends his father amid reports that the President called certain Afr… https://t.co/z7wqU2oSDi",0.2732,0.1,0.9,0.0,2018-01-16 20:23:45,RT @PassengerShame: I am loooooving the SAVAGE captains on #LAtoVegas!!😂✈️ Is it @DylanMcDermott or #DermotMulroney behind that cockpit doo…,-0.6505,0.0,0.797,0.203,2018-01-17 19:21:27,RT @ginakolata: Why is obesity linked to prostate cancer? A new study suggests a reason. Next: a clinical trial or an anti-obesity drug in…,-0.6597,0.0,0.82,0.18
10,2018-01-17 15:05:03,"🗣 Over 100 years after it was invented, Esperanto is spoken by relatively few people. 

But the internet has brough… https://t.co/SgjmD9LRth",0.0,0.0,1.0,0.0,2018-01-12 21:39:27,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,0.8016,0.297,0.703,0.0,2018-01-17 20:15:06,Sen. Lindsey Graham said he won't vote for a short-term spending bill that Republicans are attempting to pass by Fr… https://t.co/w4bZ7HAG2A,0.0,0.0,1.0,0.0,2018-01-16 19:14:24,RT @EmpireFOX: Congratulations to @TherealTaraji on her NAACP win in the Outstanding Actress in a Drama Series category for #Empire! 🍪 #Ima…,0.9184,0.414,0.586,0.0,2018-01-17 19:00:26,The British government has appointed a minister for loneliness https://t.co/tsHtX6RDWi https://t.co/VAjgzshBz2,-0.4215,0.0,0.763,0.237
11,2018-01-17 14:30:06,"Scotland has named its road gritters Sir Andy Flurry, Sir Salter Scott and Gritty Gritty Bang Bang. 😂… https://t.co/ZceYbNIOLx",0.0,0.0,1.0,0.0,2018-01-12 12:00:05,Four-time GRAMMY® winner @KeithUrban inspires the next generation of young artists through music education. Because… https://t.co/1a32zReMrn,0.7717,0.324,0.676,0.0,2018-01-17 20:10:05,Is Barnes &amp; Noble nearing its final chapter? There may still be life left in the book chain's story. https://t.co/sAqGzFZJKF,0.4588,0.136,0.864,0.0,2018-01-16 18:01:05,"You tell 'em, Brennan. #Bones https://t.co/1qL25jonnW",0.0,0.0,1.0,0.0,2018-01-17 18:45:05,Moscow got only 6 minutes of sunlight during the entire month of December https://t.co/IJKOqZrELx,0.0,0.0,1.0,0.0
12,2018-01-17 14:00:06,"Pop stars as novelists. 🎤✍

Only a select few have succeeded... 👉 https://t.co/YB5ZF9Ewv3 https://t.co/l27B3ycTmX",0.0,0.0,1.0,0.0,2018-01-11 20:34:24,Here's why @startrekcbs needs to be your next binge: https://t.co/locrpdx0VT #StarTrekDiscovery https://t.co/XOMuprlXzG,0.0,0.0,1.0,0.0,2018-01-17 20:01:54,At least 10 people were killed and dozens were injured after four female suicide bombers detonated explosives in Ni… https://t.co/CxeeUM4mOG,-0.9136,0.0,0.592,0.408,2018-01-16 14:00:05,Captain Dave is proud of his baggage. #LAtoVegas https://t.co/NOn48Z5aWl,0.4767,0.279,0.721,0.0,2018-01-17 18:30:20,He leaked a photo of Rick Perry hugging a coal executive. Then he lost his job. https://t.co/45AVbAbAa7,-0.2023,0.144,0.619,0.237
13,2018-01-17 13:30:04,"Thinking of buying a car?

🚙🎨 Apparently your choice of colour says more about you than you might realise.… https://t.co/QREMOhJBZF",0.0,0.0,1.0,0.0,2018-01-11 20:31:42,RT @Elementary_CBS: Your favorite detective duo is back! #Elementary returns April 30 at 10/9c! https://t.co/aG8XiwAd6S,0.555,0.204,0.796,0.0,2018-01-17 20:00:27,North and South Korean athletes will march together at the Winter Olympics opening ceremony under a unified flag… https://t.co/L5Q2QpkF6b,0.3818,0.133,0.867,0.0,2018-01-16 00:00:04,"No, Tina. You're our hero. #BobsBurgers https://t.co/lYJxqBqw3G",0.34,0.333,0.463,0.204,2018-01-17 18:15:08,RT @nytopinion: Nuanced conversations about consent have been happening for a long time. The reason they feel foreign to so many men is tha…,0.2263,0.079,0.921,0.0
14,2018-01-17 13:00:06,"Up until a century ago, residents of Makhunik were half a metre shorter than the average Iranian. @BBC_Travel… https://t.co/guNf5FR816",0.0,0.0,1.0,0.0,2018-01-11 20:31:33,"RT @CodeBlackCBS: Return to Angels Memorial on Wednesday, May 2 for season 3 of #CodeBlack. https://t.co/ZmfuQhOwoU",0.0,0.0,1.0,0.0,2018-01-17 19:50:08,"""2018 must be the year in which the truth takes a stand against power that would weaken it""

Read Sen. Jeff Flake's… https://t.co/vGG3GNF01l",-0.128,0.092,0.797,0.112,2018-01-15 21:30:02,"You heard Polaris, #MutantsUnite tonight at 8/7c. #TheGifted https://t.co/uOi1aBbZST",0.0,0.0,1.0,0.0,2018-01-17 18:00:06,"Steve Bannon will be interviewed by special counsel investigators instead of testifying before a grand jury. 

This… https://t.co/irbXs3ClNG",0.6908,0.275,0.725,0.0
15,2018-01-17 12:30:01,Quick-fire questions with #McMafia's @jginorton! https://t.co/SoyRZUliv2,0.0,0.0,1.0,0.0,2018-01-11 12:00:06,#TBT to when @latelateshow's @JKCorden rolled into the 2017 #GRAMMYs! Don't miss him return to host The 60th Annual… https://t.co/CbczcnV3HK,0.1867,0.084,0.916,0.0,2018-01-17 19:40:13,President Trump bragged on Twitter that his approval rating with black Americans has doubled. It hasn't.… https://t.co/kR2ApTWp18,0.4767,0.162,0.838,0.0,2018-01-15 18:00:04,MOOD. #TheSimpsons https://t.co/k8u6W1h0Si,0.0,0.0,1.0,0.0,2018-01-17 17:45:16,Goldman Sachs once looked invincible. Now it’s losing money. https://t.co/ycLqJYASZR,0.1531,0.232,0.58,0.188
16,2018-01-17 12:00:08,The Bayeux Tapestry is to be displayed in UK for the first time. https://t.co/bTXsjJ9UTp https://t.co/HiOo3J3FUf,0.0,0.0,1.0,0.0,2018-01-10 17:15:18,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,0.8553,0.344,0.656,0.0,2018-01-17 19:30:10,Former White House chief strategist Steve Bannon has struck a deal with special counsel Robert Mueller's team and w… https://t.co/3cPhqbIk3P,0.1779,0.124,0.783,0.092,2018-01-15 14:09:02,CLASSIC. TEENAGE. ANGST. #90210 https://t.co/NiSiSxBizR,0.0,0.0,1.0,0.0,2018-01-17 17:30:32,Your face may be on the wall of a museum. This app could help you to find it. https://t.co/3r0ltRUUFd,0.4019,0.137,0.863,0.0
17,2018-01-17 11:28:12,⚡️ @BTS_twt are about to appear in a @BBCR1 documentary and fans are READY! ✨ #BTS #BTSonBBCR1 https://t.co/RtV8VqjKJe,0.5461,0.19,0.81,0.0,2018-01-10 14:44:59,"Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and m… https://t.co/rCWrP6PihR",0.0,0.0,1.0,0.0,2018-01-17 19:23:44,Republicans will be blamed for a government shutdown | Analysis by @CillizzaCNN https://t.co/dgFP7Abrot https://t.co/dKoCzuWd8m,-0.4767,0.0,0.78,0.22,2018-01-14 21:30:01,When you remember you don't have work tomorrow... #That70sShow https://t.co/jaqyvUTU4u,0.0,0.0,1.0,0.0,2018-01-17 17:16:06,"RT @nytopinion: Strangely, the commander-in-chief, the one who would decide when and how to use those weapons, is the only individual in th…",-0.6249,0.0,0.805,0.195
18,2018-01-17 10:34:20,RT @bbcthree: Dark-skinned girls explain colourism. https://t.co/3IymyDshkk,0.0,0.0,1.0,0.0,2018-01-09 19:30:28,RT @BullCBS: Dr. #Bull's latest case could change the way Psychologists work. Don't miss tonight's new episode at 9/8c on CBS! https://t.co…,0.1867,0.076,0.924,0.0,2018-01-17 19:20:13,"Colin Kaepernick says he is making his final $100,000 donation to complete his $1 million pledge to help groups wor… https://t.co/kervIUrlpp",0.4019,0.119,0.881,0.0,2018-01-14 18:00:04,Draw me like one of your French girls. #LastManOnEarth https://t.co/LX7in13QPG,0.3612,0.217,0.783,0.0,2018-01-17 17:01:05,North and South Korean athletes will march under a “unified Korea” flag at the Olympics. It's the most dramatic ges… https://t.co/CG0c1OcPK5,0.0,0.0,1.0,0.0
19,2018-01-17 10:31:35,"RT @BBCOne: Pallas's cat. It's so still… so ghostly, that people think it's a rock. But it's not. It's a cat. Rocks don't miaow. Not as a r…",0.0,0.0,1.0,0.0,2018-01-09 19:27:16,"🎶@Prince pushed the envelope and never settled for ordinary.

Celebrate the greatest artists in music history at Th… https://t.co/GPZ9YgK1tH",0.836,0.317,0.683,0.0,2018-01-17 19:10:08,Republicans will blamed for a government shutdown | Analysis by @CillizzaCNN https://t.co/oi07rYi1Dt https://t.co/Eoi4eIEBa8,-0.4767,0.0,0.763,0.237,2018-01-14 14:00:02,Join the party! #FamilyGuy's 300th episode airs TONIGHT at 9/8c. Giggity. https://t.co/lED52UYw6a,0.636,0.342,0.658,0.0,2018-01-17 16:46:04,"Bill Miller, the investor who beat the S&amp;P 500 for 15 straight years, donated $75 million to support philosophy at… https://t.co/9rWrAYPlE1",0.5574,0.195,0.805,0.0
20,2018-01-17 10:05:32,RT @BBCSport: Manchester City Women forward Nikita Parris and Chelsea Ladies winger Karen Carney go head-to-head to see who's got the best…,0.0,0.0,1.0,0.0,2018-01-09 18:29:39,RT @AmazingRaceCBS: This race is just getting started. Catch a new episode of The #AmazingRace tomorrow at 8/7c on CBS! https://t.co/Nab5DC…,0.0,0.0,1.0,0.0,2018-01-17 19:00:07,"The first so-called ""ghost ship"" of 2018 washes up in Japan with dead North Koreans. More than 100 arrived on Japan… https://t.co/fBPAcLuVxI",-0.765,0.0,0.752,0.248,2018-01-13 21:48:05,When anyone but Mulder flirts with Scully. 😷 #TheXFiles https://t.co/aaGx5jt6PS,0.2617,0.204,0.796,0.0,2018-01-17 16:31:11,"A plan to create a new American-backed, Kurdish-led border force in northeastern Syria has raised alarms in the reg… https://t.co/rkVXQc0syR",0.0,0.104,0.792,0.104
21,2018-01-17 09:00:13,"'The homophobia is staggering.'

Friends and the trouble with old sitcoms. 👉 https://t.co/ujOeE9oRPR https://t.co/sJG4bu0RQZ",0.1027,0.185,0.655,0.161,2018-01-08 18:07:57,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,0.0,0.0,1.0,0.0,2018-01-17 18:52:09,"White House press secretary Sarah Sanders on potential for government shutdown: ""The President certainly doesn't wa… https://t.co/AQyTixvmUT",0.34,0.13,0.87,0.0,2018-01-13 20:29:57,"RT @COSMOSonTV: .@FOXTV and @NatGeoChannel’s Emmy-award winning event series, returns with #COSMOS: Possible Worlds hosted again by @neilty…",0.5267,0.167,0.833,0.0,2018-01-17 16:16:09,NBA Power Rankings: A team-by-team progress report at the midseason https://t.co/iiFc28HxAS,0.4215,0.237,0.763,0.0
22,2018-01-17 08:41:10,"RT @BBCFOUR: 🔎  Who is your favourite actor to play Sherlock Holmes? How to Be Sherlock Holmes, tonight from midnight. https://t.co/flUxnGA…",0.34,0.112,0.888,0.0,2018-01-08 14:34:48,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",0.0,0.0,1.0,0.0,2018-01-17 18:50:10,Sen. Jeff Flake's 20 most damning lines about President Trump's assault on the press | Analysis by @CillizzaCNN… https://t.co/MXKlhUIC8Y,-0.7574,0.0,0.711,0.289,2018-01-13 18:00:06,#Lucifer does have a point... 😈 https://t.co/digMAyYdbE,0.0,0.0,1.0,0.0,2018-01-17 16:01:55,"In May of 2017, the Times reported that China had killed or jailed more than a dozen CIA sources over 2 years, weak… https://t.co/cttOBsiDiV",-0.8271,0.0,0.722,0.278
23,2018-01-17 08:40:02,"Maybe we all need to find some 'monk time'?

Just one of the top tips on cracking that work-life balance from… https://t.co/OgfoyHiLnd",0.2023,0.079,0.921,0.0,2018-01-08 14:29:20,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,0.0,0.0,1.0,0.0,2018-01-17 18:40:02,It's so cold in parts of Siberia that eyelashes are freezing https://t.co/4zqMkU7JRL https://t.co/K6ttwViZnI,-0.1027,0.0,0.896,0.104,2018-01-13 14:00:03,When Cookie goes IN on Boo Boo Kitty. #Empire https://t.co/RcY4Em7XhD,0.0,0.0,1.0,0.0,2018-01-17 15:46:05,"After a spate of fatal cycling crashes, officials are announcing plans to install the first protected crosstown bik… https://t.co/sQYD6ptozX",-0.1531,0.129,0.714,0.156
24,2018-01-17 08:39:10,"RT @BBCScotland: Look out the thermals, snow has arrived in Scotland! https://t.co/kBphsIw865",0.0,0.0,1.0,0.0,2018-01-08 00:29:51,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,0.0,0.0,1.0,0.0,2018-01-17 18:34:56,How three elections are snarling the immigration fight | Analysis by @StCollinson https://t.co/z9bAC7NjLk https://t.co/1Tgh6nzGm2,-0.3818,0.0,0.822,0.178,2018-01-13 00:06:03,RETWEET if this is gonna be you in the club tonight. #BobsBurgers https://t.co/KC23m2lHV6,0.0,0.0,1.0,0.0,2018-01-17 15:30:08,"RT @NYTNational: As a white supremacist prepared to come to the University of Florida last year, the president recalled looking at the chao…",0.34,0.145,0.855,0.0
25,2018-01-17 08:35:21,RT @BBCTwo: How do you make a fruit soft drink? 🍇🤔 #InsideTheFactory https://t.co/U6LB8SyM7g,0.0,0.0,1.0,0.0,2018-01-06 20:05:17,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",0.0,0.0,1.0,0.0,2018-01-17 18:20:19,The wife of a man deported to Mexico after living in the US for 30 years says they have not received any calls or a… https://t.co/QSZIBvJvk8,0.0,0.0,1.0,0.0,2018-01-12 23:05:50,RT @Diddy: MOOD https://t.co/jSCukCoGp0,0.0,0.0,1.0,0.0,2018-01-17 15:14:02,Opinion: How sex trumped race https://t.co/j1oKvPniZ6,0.0,0.0,1.0,0.0
26,2018-01-17 08:34:25,"RT @BBCR1: ✨ Just TWO DAYS to go! ✨

Watch @AdeleRoberts explore the K-pop phenomenon and meet the incredible @BTS_twt this Friday from 5AM…",0.0,0.0,1.0,0.0,2018-01-06 19:04:08,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,0.8271,0.314,0.686,0.0,2018-01-17 18:17:57,"White House press secretary Sarah Sanders is holding a briefing.

Watch on CNN: https://t.co/XSQ1Yga28v

Follow liv… https://t.co/Mul6hsqKr8",0.0,0.0,1.0,0.0,2018-01-12 23:05:41,RT @FamilyGuyonFOX: No one said it would be easy. Celebrate 300 episodes with us on SUNDAY. #FamilyGuy #FamilyGuy300 https://t.co/3ksSDiM5Nn,0.6597,0.266,0.645,0.089,2018-01-17 15:00:46,Morning Briefing: Here's what you need to know to start your day https://t.co/2tzkGknf0w https://t.co/AE5kkVVBib,0.0,0.0,1.0,0.0
27,2018-01-17 08:34:09,RT @BBCWthrWatchers: Good morning Weather Watchers! #Snow is making headlines again this morning. https://t.co/P41Wh4MU80,0.4926,0.197,0.803,0.0,2018-01-06 19:03:38,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,-0.7717,0.0,0.774,0.226,2018-01-17 18:10:13,"Aetna customers whose HIV statuses were revealed through windowed envelopes will receive a $17 million settlement,… https://t.co/CXT0wdQjiH",0.0,0.0,1.0,0.0,2018-01-12 23:02:50,RT @TheSimpsons: Retweet if you've ever slept on the job. We won't judge. #TheSimpsons https://t.co/W89can7iJT,0.0,0.0,1.0,0.0,2018-01-17 14:31:07,"""The phenomenon of female anger has often been turned against itself, the figure of the angry woman reframed as thr… https://t.co/QOFRb89Kcs",-0.7906,0.0,0.731,0.269
